Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Just finished an amazing workout! ðŸ’ª               , Positive  ,15-01-2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
 Trying out a new recipe for dinner tonight.        , Neutral   ,15-01-2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
 The new movie release is a must-watch!             , Positive  ,16-01-2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
 Just published a new blog post. Check it out!      , Positive  ,17-01-2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
" New year, new fitness goals! ðŸ’ª                    ", Positive  ,18-01-2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
 Just adopted a cute furry friend! ðŸ¾              , Positive  ,19-01-2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
 Winter blues got me feeling low.                   , Negative  ,20-01-2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
 Productive day ticking off my to-do list.          , Positive  ,21-01-2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
 Sunday brunch with friends.                        , Positive  ,22-01-2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
 Quiet evening with a good book.                    , Positive  ,23-01-2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
 Weekend road trip to explore scenic views.         , Positive  ,24-01-2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
 Feeling inspired after attending a workshop.       , Positive  ,26-01-2023 09:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
 Attending a live music concert tonight.            , Positive  ,27-01-2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
 Excited about the upcoming gaming tournament.      , Positive  ,28-01-2023 09:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
 Feeling accomplished after a productive day.       , Positive  ,29-01-2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
 New book release from my favorite author!          , Positive  ,30-01-2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
 Cooking a special dinner for loved ones.           , Positive  ,31-01-2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
 Sunday bike ride through scenic trails.           , Positive  ,01-02-2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13
 Feeling a sense of fear after watching a thriller movie. , Fear         ,11-02-2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
 Pure happiness: celebrating a loved one's achievement! , Happiness    ,13-02-2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10
 An amusing incident brightened up my day!               , Amusement    ,14-02-2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14
 Sending affectionate vibes to all my followers!          , Affection    ,15-02-2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16
 A surprise gift from a friend made my day!              , Surprise     ,16-02-2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14
 Anticipating a thrilling adventure in the coming weeks. , Anticipation ,17-02-2023 07:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7
 Confusion clouds my mind as I navigate through decisions., Confusion    ,18-02-2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14
 Pride in achieving a personal milestone.               , Pride        ,19-02-2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16
 The fear of the unknown is keeping me up at night.    , Fear         ,20-02-2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21
 Overflowing happiness: welcoming a new family member!  , Happiness    ,22-02-2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10
 Amused by the antics of my petâ€”it's pure amusement!      , Amusement    ,23-02-2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14
 Sending affectionate vibes to friends and family.        , Affection    ,24-02-2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16
 A surprise visit from an old friend brought tears of joy. , Surprise     ,25-02-2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14
 Anticipating the release of a much-awaited movie.       , Anticipation ,26-02-2023 07:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7
